Year,Population,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate
1965,5348000,98.5,2.4,5.4,,40,50.7
1966,5383000,115.2,2.4,6.4,,46,60.5
1967,5421000,127.6,2.8,7.6,,52,65.2
1968,5437000,164,3.5,9.5,,74.3,76.7
1969,5467000,187.9,3.5,10.8,,90.6,82.9
1970,5689170,202.9,3.5,12,,99.5,87.9
1971,5758000,266,3.8,12.4,,140.1,109.6
1972,5787000,295.2,3.7,13.5,,152.8,125.2
1973,5818000,351.9,4.4,16.3,,182,149.3
1974,5800000,388.7,4.4,15.6,,212.4,156.3
1975,5828000,442.6,4.2,19.2,,227,192.2
1976,5809000,399.2,3.3,17.7,,180.2,198
1977,5782000,425.3,3.1,20.8,,169.9,231.6
1978,5774000,462,3.7,22.6,,172.3,263.3
1979,5769000,531.3,3.7,24.8,,203.2,299.6
1980,5728288,601.3,4.1,27.3,,235.5,334.4
1981,5770000,628.6,3.6,27.4,,270.9,326.7
1982,5781000,571.4,3.8,25.3,,213.8,328.5
1983,5767000,576.8,3.5,25.9,,208.5,338.9
1984,5798000,523.7,3.6,28.1,,174.6,317.4
1985,5822000,538.2,3.5,29.8,,188.5,316.5
1986,5832000,556.9,3.6,29.7,,192.7,330.9
1987,5855000,564.6,3,31.9,,177.3,352.5
1988,5871000,619.6,3.5,32,,176.3,407.8
1989,5913000,675,4.3,31.8,,202.6,436.3
1990,6016425,736.3,4,33.7,,217.1,481.4
1991,5996000,736.1,4.2,32.1,,194.6,505.2
1992,5998000,779,3.6,36.1,,184.4,555
1993,6012000,804.9,3.9,33.4,,175.7,592
1994,6041000,707.6,3.5,30.2,,168.2,505.7
1995,6074000,687.2,3.6,29,,150.4,504.2
1996,6092000,642.2,2.6,29,,127.7,482.9
1997,6118000,644.2,1.9,26.9,,109.1,506.2
1998,6147000,621.3,2,27.4,,96.6,495.2
1999,6175169,551,2,26.9,,96,426
2000,6349097,476.1,2,26.7,,91.6,355.9
2001,6401164,477.8,2.2,29,,101.2,345.4
2002,6421800,484.9,2.7,27.7,,111.6,342.9
2003,6420357,473.1,2.2,28.8,,124.8,317.4
2004,6407382,460.2,2.7,28,,116.8,312.8
2005,6433367,461,2.8,27.2,,121.8,309
2006,6437193,500.5,2.9,27.5,,125.5,344.5
2007,6449755,441.7,2.9,25.5,,108.9,304.4
2008,6497967,463.8,2.6,26.9,,108.9,325.4
2009,6593587,462.6,2.6,26.3,,113.2,320.4
2010,6555466,468.9,3.3,27.2,,105.2,333.2
2011,6607003,427.3,2.8,25,,102.4,297
2012,6645303,407,1.8,24.8,,98.6,281.7
2013,6708874,406.4,2.1,25.7,34.3,99.9,270.1
2014,6745408,391.4,2,24.1,32.3,89.5,267.6
